project_type,state,district,current_stage,parcel_count,objection_count,document_turnaround_days,officer_open_load,days_in_compensation,delay_days_remaining,compensation_days
urban_transit,Maharashtra,Indore,award,1,2,8,29,96,180.0,103.0
rail,Maharashtra,Satara,award,6,1,18,29,28,179.0,79.0
highway,Karnataka,Satara,compensation,6,0,7,31,112,98.0,86.0
irrigation,Maharashtra,Pune,verification,6,3,28,10,24,306.0,104.0
rail,Madhya Pradesh,Ahmedabad,verification,6,0,36,47,59,269.0,101.0
rail,Madhya Pradesh,Indore,compensation,5,1,5,13,46,107.0,66.0
highway,Madhya Pradesh,Ahmedabad,objection,5,5,31,47,48,342.0,153.0
urban_transit,Madhya Pradesh,Satara,award,6,0,20,30,34,163.0,73.0
urban_transit,Gujarat,Nagpur,objection,3,3,45,30,67,302.0,139.0
highway,Maharashtra,Ahmedabad,verification,2,1,19,28,20,262.0,81.0
rail,Karnataka,Pune,compensation,6,2,38,45,81,220.0,140.0
highway,Madhya Pradesh,Ahmedabad,verification,2,1,28,31,96,241.0,100.0
urban_transit,Karnataka,Indore,compensation,6,1,36,30,66,166.0,107.0
rail,Gujarat,Nagpur,possession,6,0,31,49,26,121.0,89.0
irrigation,Gujarat,Pune,award,6,2,37,49,85,230.0,130.0
rail,Madhya Pradesh,Ahmedabad,possession,4,3,45,45,51,181.0,131.0
urban_transit,Madhya Pradesh,Nashik,notification,6,0,24,27,84,276.0,92.0
rail,Maharashtra,Nashik,award,2,2,30,10,66,203.0,104.0
rail,Karnataka,Indore,verification,6,3,39,39,33,346.0,131.0
rail,Gujarat,Satara,award,1,3,8,40,91,225.0,125.0
urban_transit,Maharashtra,Indore,verification,4,4,45,26,41,377.0,148.0
highway,Gujarat,Indore,possession,4,0,39,34,24,115.0,85.0
irrigation,Madhya Pradesh,Indore,compensation,3,1,16,5,33,145.0,79.0
highway,Madhya Pradesh,Indore,compensation,1,3,40,36,68,216.0,134.0
urban_transit,Karnataka,Ahmedabad,verification,1,1,25,15,115,273.0,118.0
urban_transit,Maharashtra,Nagpur,compensation,1,3,11,40,57,200.0,119.0
highway,Karnataka,Nashik,possession,3,1,20,5,19,107.0,74.0
highway,Karnataka,Indore,verification,6,2,34,32,52,286.0,107.0
irrigation,Maharashtra,Satara,verification,2,1,2,26,39,223.0,67.0
highway,Madhya Pradesh,Nashik,objection,3,3,18,41,11,286.0,109.0
rail,Gujarat,Nagpur,possession,3,2,17,4,12,132.0,84.0
rail,Maharashtra,Indore,possession,5,1,7,38,62,89.0,83.0
urban_transit,Gujarat,Satara,notification,1,0,36,38,90,293.0,105.0
irrigation,Gujarat,Indore,possession,4,3,19,48,53,158.0,118.0
irrigation,Maharashtra,Ahmedabad,verification,5,1,7,38,103,250.0,103.0
highway,Gujarat,Satara,verification,2,3,31,45,73,320.0,132.0
highway,Karnataka,Pune,objection,2,0,6,10,82,181.0,77.0
urban_transit,Gujarat,Pune,possession,2,2,26,30,65,149.0,115.0
highway,Karnataka,Ahmedabad,possession,4,0,39,14,43,125.0,93.0
highway,Karnataka,Nagpur,verification,6,1,20,4,97,234.0,92.0
urban_transit,Maharashtra,Indore,compensation,5,0,15,20,23,111.0,60.0
irrigation,Madhya Pradesh,Satara,notification,3,3,10,50,3,337.0,96.0
irrigation,Gujarat,Indore,verification,4,1,36,34,65,286.0,111.0
urban_transit,Madhya Pradesh,Indore,notification,4,2,10,10,2,295.0,70.0
irrigation,Madhya Pradesh,Pune,notification,2,1,37,24,97,291.0,106.0
irrigation,Madhya Pradesh,Nagpur,notification,3,2,28,50,79,342.0,126.0
irrigation,Gujarat,Nagpur,notification,5,1,42,12,40,298.0,89.0
highway,Gujarat,Pune,notification,1,0,9,35,32,272.0,70.0
irrigation,Karnataka,Pune,award,3,1,3,23,105,175.0,101.0
rail,Karnataka,Nagpur,compensation,1,3,7,5,104,139.0,102.0
rail,Karnataka,Ahmedabad,verification,4,0,15,5,17,210.0,51.0
urban_transit,Maharashtra,Satara,notification,4,1,11,50,89,325.0,118.0
urban_transit,Maharashtra,Ahmedabad,award,4,0,17,43,12,159.0,65.0
highway,Maharashtra,Pune,verification,6,3,6,43,80,269.0,108.0
highway,Maharashtra,Satara,verification,6,2,27,23,29,274.0,91.0
rail,Madhya Pradesh,Nagpur,notification,2,0,25,7,104,265.0,91.0
rail,Maharashtra,Nagpur,notification,5,1,29,22,92,319.0,116.0
irrigation,Gujarat,Ahmedabad,possession,6,0,9,29,40,91.0,74.0
irrigation,Madhya Pradesh,Nagpur,notification,5,1,22,22,8,311.0,81.0
highway,Karnataka,Ahmedabad,compensation,1,1,23,19,43,133.0,80.0
irrigation,Karnataka,Nashik,verification,6,2,30,15,8,286.0,89.0
highway,Maharashtra,Nagpur,compensation,3,2,27,15,98,151.0,109.0
rail,Gujarat,Pune,verification,2,3,27,48,44,318.0,121.0
irrigation,Madhya Pradesh,Ahmedabad,objection,6,2,36,28,29,266.0,106.0
highway,Maharashtra,Nashik,possession,3,2,16,12,39,107.0,83.0
highway,Maharashtra,Nagpur,possession,1,1,23,50,28,131.0,94.0
rail,Maharashtra,Indore,verification,4,0,42,22,109,257.0,111.0
urban_transit,Maharashtra,Nagpur,compensation,2,2,22,19,101,176.0,121.0
urban_transit,Karnataka,Pune,objection,6,1,41,17,5,255.0,91.0
rail,Karnataka,Satara,verification,4,0,3,21,42,209.0,59.0
highway,Karnataka,Nagpur,award,6,1,35,5,110,198.0,116.0
irrigation,Karnataka,Ahmedabad,notification,6,3,25,40,22,332.0,101.0
highway,Gujarat,Satara,award,4,3,21,34,80,232.0,125.0
rail,Madhya Pradesh,Nashik,objection,2,3,32,15,91,255.0,122.0
highway,Karnataka,Nagpur,objection,3,2,39,40,114,284.0,146.0
irrigation,Maharashtra,Pune,possession,1,1,4,11,32,67.0,59.0
urban_transit,Madhya Pradesh,Indore,award,1,2,22,25,81,177.0,98.0
highway,Madhya Pradesh,Nagpur,possession,3,1,38,37,4,133.0,88.0
irrigation,Karnataka,Nagpur,award,4,1,13,29,20,163.0,68.0
irrigation,Maharashtra,Nagpur,notification,4,2,37,50,11,366.0,115.0
highway,Gujarat,Ahmedabad,possession,1,0,24,28,88,104.0,99.0
urban_transit,Karnataka,Pune,award,1,3,13,49,102,215.0,126.0
highway,Gujarat,Satara,award,6,1,33,41,44,192.0,95.0
urban_transit,Karnataka,Indore,verification,3,3,21,40,42,314.0,116.0
irrigation,Karnataka,Nagpur,possession,6,0,16,38,17,95.0,70.0
irrigation,Gujarat,Nagpur,objection,4,0,7,5,120,163.0,81.0
irrigation,Maharashtra,Nagpur,objection,5,2,43,11,72,281.0,127.0
highway,Maharashtra,Nagpur,verification,4,3,9,11,34,256.0,82.0
rail,Karnataka,Nagpur,possession,3,3,12,30,5,121.0,80.0
